destroy_severity,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
0.7,coherent_memory,shuffled_label_control,0.5398740496111317,0.14154201130930938,0.015292221400948334,0.7930502602799258,0.7452550556923373,0.028818739173004378,0.5110553104381274,0.5245818282101834,0.75018310546875,0.16326904296875,0.24981689453125,0.16326904296875,0.25,16384
1.0,coherent_memory,shuffled_label_control,0.5399945422508071,0.1428618855510681,0.01603052040259766,0.7927632014615265,0.7450741608875926,0.02832019580045387,0.5116743464503533,0.5239640218482094,0.7510986328125,0.1619873046875,0.2489013671875,0.1619873046875,0.25,16384
1.0,memory_swap,speed_only_no_memory,0.017610117290150336,0.017610117290150336,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.16854918292407456,-0.15093906563392423,0.0015795968875526774,0.15673828125,0.15673828125,0.84326171875,0.0,0.25,2048
1.0,wrong_coherent_memory,speed_only_no_memory,0.017610117290150336,0.017610117290150336,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.16854918292407456,-0.15093906563392423,0.0015795968875526774,0.15673828125,0.15673828125,0.84326171875,0.0,0.25,2048
1.0,destroyed_memory,speed_only_no_memory,0.01609583647668854,0.01609583647668854,0.01603052040259766,0.006194686182395716,0.007876691268511819,0.17085411424506322,-0.15475827776837467,6.531607409088278e-05,0.15576171875,0.15576171875,0.84423828125,0.0,0.25,2048
1.0,adversarial_memory,observable_only,0.01603052040258215,0.01603052040258215,0.01603052040259766,-0.1639040269134801,0.005140743195423686,0.1700671281483251,-0.15403660774574293,-1.550706322574529e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
1.0,coherent_memory,observable_only,0.01603052040258215,0.01603052040258215,0.01603052040259766,0.7927632014615265,0.7450741608875926,0.1700671281483251,-0.15403660774574293,-1.550706322574529e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
1.0,destroyed_memory,observable_only,0.01603052040258215,0.01603052040258215,0.01603052040259766,0.006194686182395716,0.007876691268511819,0.1700671281483251,-0.15403660774574293,-1.550706322574529e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
1.0,memory_swap,observable_only,0.01603052040258215,0.01603052040258215,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.1700671281483251,-0.15403660774574293,-1.550706322574529e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
1.0,shuffled_memory,observable_only,0.01603052040258215,0.01603052040258215,0.01603052040259766,0.12887121317860636,0.11387218283628618,0.1700671281483251,-0.15403660774574293,-1.550706322574529e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
1.0,wrong_coherent_memory,observable_only,0.01603052040258215,0.01603052040258215,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.1700671281483251,-0.15403660774574293,-1.550706322574529e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
1.0,adversarial_memory,null_memory,0.0160305204025086,0.0160305204025086,0.01603052040259766,-0.1639040269134801,0.005140743195423686,0.17006712814754438,-0.15403660774503578,-8.906084801987392e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
1.0,coherent_memory,null_memory,0.0160305204025086,0.0160305204025086,0.01603052040259766,0.7927632014615265,0.7450741608875926,0.17006712814754438,-0.15403660774503578,-8.906084801987392e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
1.0,destroyed_memory,null_memory,0.0160305204025086,0.0160305204025086,0.01603052040259766,0.006194686182395716,0.007876691268511819,0.17006712814754438,-0.15403660774503578,-8.906084801987392e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
1.0,memory_swap,null_memory,0.0160305204025086,0.0160305204025086,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.17006712814754438,-0.15403660774503578,-8.906084801987392e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
1.0,shuffled_memory,null_memory,0.0160305204025086,0.0160305204025086,0.01603052040259766,0.12887121317860636,0.11387218283628618,0.17006712814754438,-0.15403660774503578,-8.906084801987392e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
1.0,wrong_coherent_memory,null_memory,0.0160305204025086,0.0160305204025086,0.01603052040259766,0.013080923577669747,0.012431095054981913,0.17006712814754438,-0.15403660774503578,-8.906084801987392e-14,0.15380859375,0.15380859375,0.84619140625,0.0,0.25,2048
0.7,adversarial_memory,observable_only,0.015292221400933583,0.015292221400933583,0.015292221400948334,-0.1630043148158376,0.19543034854462357,0.17148443222602686,-0.1561922108250933,-1.4749951014930098e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
0.7,coherent_memory,observable_only,0.015292221400933583,0.015292221400933583,0.015292221400948334,0.7930502602799258,0.7452550556923373,0.17148443222602686,-0.1561922108250933,-1.4749951014930098e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
0.7,destroyed_memory,observable_only,0.015292221400933583,0.015292221400933583,0.015292221400948334,0.20118114641670323,0.19356096759674088,0.17148443222602686,-0.1561922108250933,-1.4749951014930098e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
0.7,memory_swap,observable_only,0.015292221400933583,0.015292221400933583,0.015292221400948334,0.01334070711545916,0.012685798191466674,0.17148443222602686,-0.1561922108250933,-1.4749951014930098e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
0.7,shuffled_memory,observable_only,0.015292221400933583,0.015292221400933583,0.015292221400948334,0.13728106611286411,0.12251031851875252,0.17148443222602686,-0.1561922108250933,-1.4749951014930098e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
0.7,wrong_coherent_memory,observable_only,0.015292221400933583,0.015292221400933583,0.015292221400948334,0.01334070711545916,0.012685798191466674,0.17148443222602686,-0.1561922108250933,-1.4749951014930098e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
0.7,adversarial_memory,null_memory,0.015292221400863375,0.015292221400863375,0.015292221400948334,-0.1630043148158376,0.19543034854462357,0.17148443222523976,-0.1561922108243764,-8.495706162412841e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
0.7,coherent_memory,null_memory,0.015292221400863375,0.015292221400863375,0.015292221400948334,0.7930502602799258,0.7452550556923373,0.17148443222523976,-0.1561922108243764,-8.495706162412841e-14,0.1513671875,0.1513671875,0.8486328125,0.0,0.25,2048
