memory_cap,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
0.5,wrong_coherent_memory,latent_memory_only,0.01690628505993085,0.01690628505993085,0.015095085097264352,0.01690628505995417,0.016333500964227286,0.1683498666519147,-0.15144358159198387,0.0018111999626664963,0.13427734375,0.13427734375,0.86572265625,0.0,0.25,2048
1.0,memory_swap,memory_bounded_arbiter,0.011172199811672619,0.011172199811672619,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.16834560073609608,-0.15717340092442347,-0.00505545689460902,0.13037109375,0.13037109375,0.86962890625,0.0,0.25,2048
1.0,wrong_coherent_memory,memory_bounded_arbiter,0.011172199811672619,0.011172199811672619,0.01622765670628164,0.009515345633174738,0.008783392282221303,0.16834560073609608,-0.15717340092442347,-0.00505545689460902,0.13037109375,0.13037109375,0.86962890625,0.0,0.25,2048
0.5,shuffled_memory,speed_only_no_memory,0.04101941916100735,0.04101941916100735,0.015095085097264352,0.11650563104477145,0.1014040245769431,0.2204587072957441,-0.17943928813473675,0.025924334063742994,0.12939453125,0.12939453125,0.87060546875,0.0,0.25,2048
1.0,shuffled_memory,speed_only_no_memory,0.060612817636470216,0.060612817636470216,0.01622765670628164,0.14964664824669904,0.1349784767780956,0.3060378637873375,-0.24542504615086727,0.04438516093018858,0.12890625,0.12890625,0.87109375,0.0,0.25,2048
1.0,shuffled_memory,latent_memory_only,0.14964664824654939,0.14964664824654939,0.01622765670628164,0.14964664824669904,0.1349784767780956,0.8371476197355832,-0.6875009714890339,0.13341899154026773,0.12646484375,0.12646484375,0.87353515625,0.0,0.25,2048
1.0,shuffled_memory,memory_bounded_arbiter,0.14683980726226664,0.14683980726226664,0.01622765670628164,0.14964664824669904,0.1349784767780956,0.8299908895885336,-0.683151082326267,0.130612150555985,0.12646484375,0.12646484375,0.87353515625,0.0,0.25,2048
1.0,shuffled_memory,overdriven_arbiter,0.13797132864261655,0.13797132864261655,0.01622765670628164,0.14964664824669904,0.1349784767780956,0.8105277446834812,-0.6725564160408647,0.1217436719363349,0.12646484375,0.12646484375,0.87353515625,0.0,0.25,2048
1.0,shuffled_memory,arbiter_only,0.13497847677796063,0.13497847677796063,0.01622765670628164,0.14964664824669904,0.1349784767780956,0.8007224473078522,-0.6657439705298916,0.11875082007167898,0.12646484375,0.12646484375,0.87353515625,0.0,0.25,2048
0.5,shuffled_memory,latent_memory_only,0.11650563104460765,0.11650563104460765,0.015095085097264352,0.11650563104477145,0.1014040245769431,0.5951499566733107,-0.47864432562870307,0.1014105459473433,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.5,shuffled_memory,memory_bounded_arbiter,0.10389535439979027,0.10389535439979027,0.015095085097264352,0.11650563104477145,0.1014040245769431,0.5379828231514305,-0.4340874687516402,0.08880026930252592,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.5,shuffled_memory,overdriven_arbiter,0.10174616146602317,0.10174616146602317,0.015095085097264352,0.11650563104477145,0.1014040245769431,0.5527201884919511,-0.45097402702592804,0.08665107636875881,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.5,shuffled_memory,arbiter_only,0.10140402457680768,0.10140402457680768,0.015095085097264352,0.11650563104477145,0.1014040245769431,0.5584007755203483,-0.4569967509435406,0.08630893947954332,0.1259765625,0.1259765625,0.8740234375,0.0,0.25,2048
0.5,adversarial_memory,memory_bounded_arbiter,-0.07612024639104577,-0.07612024639104577,0.015095085097264352,-0.12903863696296797,0.08559714205068224,0.5040925470557857,-0.5802127934468314,-0.09121533148831013,0.0,0.0,1.0,0.0,0.25,2048
0.5,adversarial_memory,latent_memory_only,-0.12903863696278542,-0.12903863696278542,0.015095085097264352,-0.12903863696296797,0.08559714205068224,0.6670868519255131,-0.7961254888882985,-0.14413372206004976,0.0,0.0,1.0,0.0,0.25,2048
