condition,mode,noise,memory_cap,arbiter_speed,memory_true_similarity,memory_observable_similarity,memory_arbiter_similarity,count,target_similarity,nearest_non_target,dominance,recovered,competitor_won,coef_X,coef_X_std,coef_Phi,coef_Phi_std,coef_K,coef_K_std,coef_A,coef_A_std
memory_swap,null_memory,0.05666666666666667,0.625,3.1,-0.004236529731739889,-0.008055750783564679,-0.003144367124771767,2184.0,0.00011226522133055395,0.347882647596965,-0.34777038237563446,0.01517094017094017,0.9848290598290599,,,,,,,,
memory_swap,arbiter_only,0.05666666666666667,0.625,3.1,-0.004236529731739889,-0.008055750783564679,-0.003144367124771767,2184.0,-0.002902045803506782,0.7865542290849915,-0.7894562748884982,0.00045024420024420027,0.9995497557997558,,,,,,,,
memory_swap,speed_only_no_memory,0.05666666666666667,0.625,3.1,-0.004236529731739889,-0.008055750783564679,-0.003144367124771767,2184.0,-0.0029020458035067826,0.7865542290849915,-0.7894562748884982,0.00045024420024420027,0.9995497557997558,,,,,,,,
shuffled_memory,memory_only,0.05666666666666667,0.625,3.1,0.09853275067687978,0.08542426919014799,0.08591152128102636,2184.0,1.0,0.7737575227804154,0.2262424772195847,1.0,0.0,,,,,,,,
shuffled_memory,arbiter_only,0.05666666666666667,0.625,3.1,0.09853275067687978,0.08542426919014799,0.08591152128102636,2184.0,0.0838353000108398,0.7851265244462567,-0.7012912244354169,0.019574175824175824,0.9804258241758242,,,,,,,,
shuffled_memory,speed_only_no_memory,0.05666666666666667,0.625,3.1,0.09853275067687978,0.08542426919014799,0.08591152128102636,2184.0,0.0838353000108398,0.7851265244462566,-0.7012912244354169,0.019574175824175824,0.9804258241758242,,,,,,,,
shuffled_memory,calibrated_full,0.05666666666666667,0.625,3.1,0.09853275067687978,0.08542426919014799,0.08591152128102636,2184.0,0.1121161971340329,0.8095521792944798,-0.6974359821604469,0.01913156288156288,0.9808684371184371,0.07274763715843756,0.38207638426483725,0.04106179274061869,0.2956026334880254,0.03010877756759245,0.2346005348090697,0.019840276943220818,0.38405513286420967
shuffled_memory,calibrated_no_observable,0.05666666666666667,0.625,3.1,0.09853275067687978,0.08542426919014799,0.08591152128102636,2184.0,0.1121161971340329,0.8095521792944798,-0.6974359821604469,0.01913156288156288,0.9808684371184371,0.07274763715843756,0.38207638426483725,0.04106179274061869,0.2956026334880254,0.03010877756759245,0.2346005348090697,0.019840276943220818,0.38405513286420967
shuffled_memory,calibrated_no_arbiter,0.05666666666666667,0.625,3.1,0.09853275067687978,0.08542426919014799,0.08591152128102636,2184.0,0.11060067836083777,0.813634502014399,-0.7030338236535613,0.0181013431013431,0.981898656898657,0.07274763715843756,0.38207638426483725,0.04106179274061869,0.2956026334880254,0.03010877756759245,0.2346005348090697,0.019840276943220818,0.38405513286420967
shuffled_memory,shuffled_label_control,0.05666666666666667,0.625,3.1,0.09853275067687978,0.08542426919014799,0.08591152128102636,2184.0,0.09557933505595863,0.8095975284069592,-0.7140181933510006,0.015636446886446886,0.9843635531135532,,,,,,,,
